2026-05-30T23:34:24.682836559Z [inf]  Starting Container
2026-05-30T23:35:36.884870438Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ddd209', status: 200 }
2026-05-30T23:35:36.884876549Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40973977', attempt: 1 }
2026-05-30T23:35:36.884882280Z [inf]  [baseball live-activity] apns-response { deviceToken: '40973977', status: 200 }
2026-05-30T23:35:36.885371438Z [inf]  [baseball live-activity] apns-response { deviceToken: '4014862f', status: 200 }
2026-05-30T23:35:36.885384275Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ee6397', attempt: 1 }
2026-05-30T23:35:36.885391824Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ee6397', status: 200 }
2026-05-30T23:35:36.885398777Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f82c87', attempt: 1 }
2026-05-30T23:35:36.885406144Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f82c87', status: 200 }
2026-05-30T23:35:36.885421424Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407fd287', attempt: 1 }
2026-05-30T23:35:36.885445852Z [inf]  [baseball live-activity] apns-response { deviceToken: '407fd287', status: 200 }
2026-05-30T23:35:36.885453650Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4039fb50', attempt: 1 }
2026-05-30T23:35:36.885480211Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ccbd87', attempt: 1 }
2026-05-30T23:35:36.885485004Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ccbd87', status: 200 }
2026-05-30T23:35:36.885490538Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c7ea96', attempt: 1 }
2026-05-30T23:35:36.885495979Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c7ea96', status: 200 }
2026-05-30T23:35:36.885503121Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400f5021', attempt: 1 }
2026-05-30T23:35:36.885508676Z [inf]  [baseball live-activity] apns-response { deviceToken: '400f5021', status: 200 }
2026-05-30T23:35:36.885514015Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e07444', attempt: 1 }
2026-05-30T23:35:36.885519334Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e07444', status: 200 }
2026-05-30T23:35:36.885525777Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4014862f', attempt: 1 }
2026-05-30T23:35:36.886346697Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4002adf5', attempt: 1 }
2026-05-30T23:35:36.886406087Z [inf]  [baseball live-activity] apns-response { deviceToken: '4039fb50', status: 200 }
2026-05-30T23:35:36.889923915Z [inf]  [baseball live-activity] apns-response { deviceToken: '4002adf5', status: 200 }
2026-05-30T23:35:36.892477281Z [inf]  [baseball live-activity] apns-connect { deviceToken: '404d2175', attempt: 1 }
2026-05-30T23:35:36.922553925Z [inf]  [baseball live-activity] apns-response { deviceToken: '404d2175', status: 200 }
2026-05-30T23:35:36.925410228Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fd2c4b', attempt: 1 }
2026-05-30T23:35:36.967309656Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fd2c4b', status: 200 }
2026-05-30T23:35:36.967317435Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409d643e', attempt: 1 }
2026-05-30T23:35:36.990888363Z [inf]  [baseball live-activity] apns-response { deviceToken: '409d643e', status: 200 }
2026-05-30T23:35:36.992362282Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4071038e', attempt: 1 }
2026-05-30T23:35:37.027112453Z [inf]  [baseball live-activity] apns-response { deviceToken: '4071038e', status: 200 }
2026-05-30T23:35:37.029411030Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400b91b1', attempt: 1 }
2026-05-30T23:35:37.070137072Z [inf]  [baseball live-activity] apns-response { deviceToken: '400b91b1', status: 200 }
2026-05-30T23:35:37.070173347Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c2fca0', attempt: 1 }
2026-05-30T23:35:37.100242782Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c2fca0', status: 200 }
2026-05-30T23:35:37.107423438Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4068d3f1', attempt: 1 }
2026-05-30T23:35:37.138700208Z [inf]  [baseball live-activity] apns-response { deviceToken: '4068d3f1', status: 200 }
2026-05-30T23:35:37.138704796Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40df3bff', attempt: 1 }
2026-05-30T23:35:37.177490815Z [inf]  [baseball live-activity] apns-response { deviceToken: '40df3bff', status: 200 }
2026-05-30T23:35:37.177504280Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406e15ee', attempt: 1 }
2026-05-30T23:35:37.224452844Z [inf]  [baseball live-activity] apns-response { deviceToken: '406e15ee', status: 200 }
2026-05-30T23:35:37.224457208Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c98945', attempt: 1 }
2026-05-30T23:35:37.243166496Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c98945', status: 200 }
2026-05-30T23:35:37.243173437Z [inf]  [baseball live-activity] apns-connect { deviceToken: '402c807d', attempt: 1 }
2026-05-30T23:35:37.809251352Z [inf]  [baseball live-activity] apns-response { deviceToken: '402c807d', status: 200 }
2026-05-30T23:35:37.809257297Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403966d8', attempt: 1 }
2026-05-30T23:35:37.809263877Z [inf]  [baseball live-activity] apns-response { deviceToken: '403966d8', status: 200 }
2026-05-30T23:35:37.809270016Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c9f8f8', attempt: 1 }
2026-05-30T23:35:37.809275286Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c9f8f8', status: 200 }
2026-05-30T23:35:37.809280079Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406ca735', attempt: 1 }
2026-05-30T23:35:37.809284673Z [inf]  [baseball live-activity] apns-response { deviceToken: '406ca735', status: 200 }
2026-05-30T23:35:37.809289729Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4061ddfb', attempt: 1 }
2026-05-30T23:35:37.809293867Z [inf]  [baseball live-activity] apns-response { deviceToken: '4061ddfb', status: 200 }
2026-05-30T23:35:37.809300126Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cc6f8c', attempt: 1 }
2026-05-30T23:35:37.809306128Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cc6f8c', status: 200 }
2026-05-30T23:35:37.809310470Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e611dc', attempt: 1 }
2026-05-30T23:35:37.809315391Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e611dc', status: 200 }
2026-05-30T23:35:37.809319565Z [inf]  [baseball live-activity] apns-connect { deviceToken: '405ea16e', attempt: 1 }
2026-05-30T23:35:37.809323885Z [inf]  [baseball live-activity] apns-response { deviceToken: '405ea16e', status: 200 }
2026-05-30T23:35:37.809327995Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40468f70', attempt: 1 }
2026-05-30T23:35:37.809332518Z [inf]  [baseball live-activity] apns-response { deviceToken: '40468f70', status: 200 }
2026-05-30T23:35:37.810870547Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407eb63a', attempt: 1 }
2026-05-30T23:35:37.810876498Z [inf]  [baseball live-activity] apns-response { deviceToken: '407eb63a', status: 200 }
2026-05-30T23:35:37.810882933Z [inf]  [baseball live-activity] apns-connect { deviceToken: '404e0291', attempt: 1 }
2026-05-30T23:35:37.810889910Z [inf]  [baseball live-activity] apns-response { deviceToken: '404e0291', status: 200 }
2026-05-30T23:35:37.811452008Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f2ae54', attempt: 1 }
2026-05-30T23:35:37.811467959Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40b4451d', attempt: 1 }
2026-05-30T23:35:37.811470094Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f2ae54', status: 200 }
2026-05-30T23:35:37.811483583Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b2683', attempt: 1 }
2026-05-30T23:35:37.811484975Z [inf]  [baseball live-activity] apns-response { deviceToken: '40b4451d', status: 200 }
2026-05-30T23:35:37.811486858Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40368101', attempt: 1 }
2026-05-30T23:35:37.811494845Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b2683', status: 200 }
2026-05-30T23:35:37.811499462Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40deea15', attempt: 1 }
2026-05-30T23:35:37.811508905Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cecc35', attempt: 1 }
2026-05-30T23:35:37.811514139Z [inf]  [baseball live-activity] apns-response { deviceToken: '40deea15', status: 200 }
2026-05-30T23:35:37.811520269Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cecc35', status: 200 }
2026-05-30T23:35:37.841374334Z [inf]  [baseball live-activity] apns-response { deviceToken: '40368101', status: 200 }
2026-05-30T23:35:37.841379489Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4094ffd1', attempt: 1 }
2026-05-30T23:35:37.874726502Z [inf]  [baseball live-activity] apns-response { deviceToken: '4094ffd1', status: 200 }
2026-05-30T23:35:37.874732890Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a3c714', attempt: 1 }
2026-05-30T23:35:37.907530445Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a3c714', status: 200 }
2026-05-30T23:35:37.909421375Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40686675', attempt: 1 }
2026-05-30T23:35:37.944038611Z [inf]  [baseball live-activity] apns-response { deviceToken: '40686675', status: 200 }
2026-05-30T23:35:37.945866841Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a915d7', attempt: 1 }
2026-05-30T23:35:37.977824720Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a915d7', status: 200 }
2026-05-30T23:35:37.981989459Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40049a78', attempt: 1 }
2026-05-30T23:35:38.017440035Z [inf]  [baseball live-activity] apns-response { deviceToken: '40049a78', status: 200 }
2026-05-30T23:35:38.019904640Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401fe401', attempt: 1 }
2026-05-30T23:35:38.054514609Z [inf]  [baseball live-activity] apns-response { deviceToken: '401fe401', status: 200 }
2026-05-30T23:35:38.054525365Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f5f13d', attempt: 1 }
2026-05-30T23:35:38.083739551Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f5f13d', status: 200 }
2026-05-30T23:35:38.085431473Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4082ca1f', attempt: 1 }
2026-05-30T23:35:38.119274689Z [inf]  [baseball live-activity] apns-response { deviceToken: '4082ca1f', status: 200 }
2026-05-30T23:35:38.121149624Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409e90b8', attempt: 1 }
2026-05-30T23:35:38.158300752Z [inf]  [baseball live-activity] apns-response { deviceToken: '409e90b8', status: 200 }
2026-05-30T23:35:38.159860688Z [inf]  [baseball live-activity] apns-connect { deviceToken: '402f9d5a', attempt: 1 }
2026-05-30T23:35:38.193209640Z [inf]  [baseball live-activity] apns-response { deviceToken: '402f9d5a', status: 200 }
2026-05-30T23:35:38.195462190Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a3cd32', attempt: 1 }
2026-05-30T23:35:38.231930759Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a3cd32', status: 200 }
2026-05-30T23:35:38.234749247Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40b34727', attempt: 1 }
2026-05-30T23:35:38.799824757Z [inf]  [baseball live-activity] apns-response { deviceToken: '40b34727', status: 200 }
2026-05-30T23:35:38.799830617Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e68273', attempt: 1 }
2026-05-30T23:35:38.799835714Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e68273', status: 200 }
2026-05-30T23:35:38.799846609Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fcfc0a', attempt: 1 }
2026-05-30T23:35:38.799855944Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fcfc0a', status: 200 }
2026-05-30T23:35:38.799863552Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4071c426', attempt: 1 }
2026-05-30T23:35:38.799873864Z [inf]  [baseball live-activity] apns-response { deviceToken: '400b165a', status: 200 }
2026-05-30T23:35:38.799880666Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a58f61', attempt: 1 }
2026-05-30T23:35:38.799888109Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4000bf78', attempt: 1 }
2026-05-30T23:35:38.799899909Z [inf]  [baseball live-activity] apns-response { deviceToken: '4000bf78', status: 200 }
2026-05-30T23:35:38.799901807Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a58f61', status: 200 }
2026-05-30T23:35:38.799907823Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40d49f4b', attempt: 1 }
2026-05-30T23:35:38.799916013Z [inf]  [baseball live-activity] apns-response { deviceToken: '40d49f4b', status: 200 }
2026-05-30T23:35:38.799924119Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400b165a', attempt: 1 }
2026-05-30T23:35:38.799996183Z [inf]  [baseball live-activity] apns-response { deviceToken: '4071c426', status: 200 }
2026-05-30T23:35:38.800007812Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401a1404', attempt: 1 }
2026-05-30T23:35:38.800014612Z [inf]  [baseball live-activity] apns-response { deviceToken: '401a1404', status: 200 }
2026-05-30T23:35:38.801378633Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4044d12c', attempt: 1 }
2026-05-30T23:35:38.801387599Z [inf]  [baseball live-activity] apns-response { deviceToken: '4044d12c', status: 200 }
2026-05-30T23:35:38.801395045Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4019a096', attempt: 1 }
2026-05-30T23:35:38.801402534Z [inf]  [baseball live-activity] apns-response { deviceToken: '4019a096', status: 200 }
2026-05-30T23:35:38.801443612Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4047a31e', attempt: 1 }
2026-05-30T23:35:38.801450774Z [inf]  [baseball live-activity] apns-response { deviceToken: '4047a31e', status: 200 }
2026-05-30T23:35:38.801456797Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40cc87d1', attempt: 1 }
2026-05-30T23:35:38.801467890Z [inf]  [baseball live-activity] apns-response { deviceToken: '40cc87d1', status: 200 }
2026-05-30T23:35:38.801475495Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40e5dca8', attempt: 1 }
2026-05-30T23:35:38.801481867Z [inf]  [baseball live-activity] apns-response { deviceToken: '40e5dca8', status: 200 }
2026-05-30T23:35:38.801491257Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40dd5926', attempt: 1 }
2026-05-30T23:35:38.801497568Z [inf]  [baseball live-activity] apns-response { deviceToken: '40dd5926', status: 200 }
2026-05-30T23:35:38.801504562Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40bb810c', attempt: 1 }
2026-05-30T23:35:38.815983826Z [inf]  [baseball live-activity] apns-response { deviceToken: '40bb810c', status: 200 }
2026-05-30T23:35:38.815990026Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40fa38f5', attempt: 1 }
2026-05-30T23:35:38.849410761Z [inf]  [baseball live-activity] apns-response { deviceToken: '40fa38f5', status: 200 }
2026-05-30T23:35:38.849417689Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4089fe28', attempt: 1 }
2026-05-30T23:35:38.892366878Z [inf]  [baseball live-activity] apns-response { deviceToken: '4089fe28', status: 200 }
2026-05-30T23:35:38.892371693Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4068a1e0', attempt: 1 }
2026-05-30T23:35:38.916201559Z [inf]  [baseball live-activity] apns-response { deviceToken: '4068a1e0', status: 200 }
2026-05-30T23:35:38.917834399Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40a0a391', attempt: 1 }
2026-05-30T23:35:38.962044755Z [inf]  [baseball live-activity] apns-response { deviceToken: '40a0a391', status: 200 }
2026-05-30T23:35:38.962051749Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ad4679', attempt: 1 }
2026-05-30T23:35:38.987111831Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ad4679', status: 200 }
2026-05-30T23:35:38.994991080Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403e4100', attempt: 1 }
2026-05-30T23:35:39.026570095Z [inf]  [baseball live-activity] apns-response { deviceToken: '403e4100', status: 200 }
2026-05-30T23:35:39.026577556Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40d98b74', attempt: 1 }
2026-05-30T23:35:39.059789291Z [inf]  [baseball live-activity] apns-response { deviceToken: '40d98b74', status: 200 }
2026-05-30T23:35:39.059799566Z [inf]  [baseball live-activity] start-sent {
2026-05-30T23:35:39.059806912Z [inf]    fixtureId: '824513',
2026-05-30T23:35:39.059813583Z [inf]    bundleId: 'com.sportsheart.app',
2026-05-30T23:35:39.059820173Z [inf]    tokenCount: 90,
2026-05-30T23:35:39.059826413Z [inf]    forwarded: 90
2026-05-30T23:35:39.059832733Z [inf]  }
2026-05-30T23:35:39.233015001Z [inf]  }
2026-05-30T23:35:39.233026669Z [inf]  [baseball live-activity] register-token-done { key: '824513', tokenCount: 1 }
2026-05-30T23:35:39.233123502Z [inf]  [baseball live-activity] register-token-start {
2026-05-30T23:35:39.233129868Z [inf]    gamePk: null,
2026-05-30T23:35:39.233136079Z [inf]    fixtureId: '824513',
2026-05-30T23:35:39.233142591Z [inf]    key: '824513',
2026-05-30T23:35:39.233149040Z [inf]    token: '408b40ff…(160)'
2026-05-30T23:35:39.919163252Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:35:39.919170484Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:35:39.919175463Z [inf]    gamePk: '824513',
2026-05-30T23:35:39.919181025Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:35:39.919205958Z [inf]  }
2026-05-30T23:35:39.972652014Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:40.006635699Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:40.006643538Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:40.006648658Z [inf]    gamePk: '824513',
2026-05-30T23:35:40.006654865Z [inf]    tokenCount: 1,
2026-05-30T23:35:40.006660427Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:35:40.006665761Z [inf]    forwarded: 1
2026-05-30T23:35:40.006671091Z [inf]  }
2026-05-30T23:35:40.006676018Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:35:40.020144699Z [inf]    gamePk: '824513',
2026-05-30T23:35:40.020155867Z [inf]    tokens: 1,
2026-05-30T23:35:40.020162173Z [inf]    shouldSend: true,
2026-05-30T23:35:40.020168000Z [inf]    status: 'I',
2026-05-30T23:35:40.020173336Z [inf]    inning: 2,
2026-05-30T23:35:40.020179838Z [inf]    inningState: 'Top',
2026-05-30T23:35:40.020185929Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:35:40.020186469Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:35:40.020191652Z [inf]    gamePk: '824513',
2026-05-30T23:35:40.020192931Z [inf]  }
2026-05-30T23:35:40.020197361Z [inf]    found: true,
2026-05-30T23:35:40.020202657Z [inf]    hasLinescore: true,
2026-05-30T23:35:40.020207650Z [inf]    currentInning: 2,
2026-05-30T23:35:40.020214015Z [inf]    inningState: 'Top'
2026-05-30T23:35:40.020218312Z [inf]  }
2026-05-30T23:35:40.020222782Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:35:40.022886816Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:40.055549005Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:40.055558470Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:40.055565021Z [inf]    gamePk: '824513',
2026-05-30T23:35:40.055571063Z [inf]    tokenCount: 1,
2026-05-30T23:35:40.055577165Z [inf]    signature: 'I|In Progress|2|2nd|top|0|1|1|1|0|1|0|1|Jorge Mateo|Brady Singer',
2026-05-30T23:35:40.055582829Z [inf]    forwarded: 1
2026-05-30T23:35:40.055588357Z [inf]  }
2026-05-30T23:35:44.941246034Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:35:44.941256174Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:35:44.941262038Z [inf]    gamePk: '824513',
2026-05-30T23:35:44.941267333Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:35:44.941272532Z [inf]  }
2026-05-30T23:35:44.967676814Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:45.016833097Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:45.016840682Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:45.016845901Z [inf]    gamePk: '824513',
2026-05-30T23:35:45.016850473Z [inf]    tokenCount: 1,
2026-05-30T23:35:45.016854663Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:35:45.016858995Z [inf]    forwarded: 1
2026-05-30T23:35:45.016862814Z [inf]  }
2026-05-30T23:35:45.016866707Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:35:45.016870722Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:35:45.016875007Z [inf]    gamePk: '824513',
2026-05-30T23:35:45.016879080Z [inf]    found: true,
2026-05-30T23:35:45.016883437Z [inf]    hasLinescore: true,
2026-05-30T23:35:45.016888628Z [inf]    currentInning: 2,
2026-05-30T23:35:45.016893407Z [inf]    inningState: 'Top'
2026-05-30T23:35:45.016897975Z [inf]  }
2026-05-30T23:35:45.016902898Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:35:45.016906745Z [inf]    gamePk: '824513',
2026-05-30T23:35:45.016910630Z [inf]    tokens: 1,
2026-05-30T23:35:45.016914432Z [inf]    shouldSend: true,
2026-05-30T23:35:45.016918514Z [inf]    status: 'I',
2026-05-30T23:35:45.016923551Z [inf]    inning: 2,
2026-05-30T23:35:45.016927748Z [inf]    inningState: 'Top',
2026-05-30T23:35:45.016932014Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:35:45.016936261Z [inf]  }
2026-05-30T23:35:45.016940207Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:45.057520159Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:45.057528059Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:45.057540781Z [inf]    gamePk: '824513',
2026-05-30T23:35:45.057552876Z [inf]    tokenCount: 1,
2026-05-30T23:35:45.057558643Z [inf]    signature: 'I|In Progress|2|2nd|top|0|1|1|1|0|1|0|1|Jorge Mateo|Brady Singer',
2026-05-30T23:35:45.057565427Z [inf]    forwarded: 1
2026-05-30T23:35:45.057570962Z [inf]  }
2026-05-30T23:35:49.929041415Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:35:49.929068298Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:35:49.929095112Z [inf]    gamePk: '824513',
2026-05-30T23:35:49.929104429Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:35:49.929113411Z [inf]  }
2026-05-30T23:35:49.971101059Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:50.000019188Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:50.000029257Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:50.000035117Z [inf]    gamePk: '824513',
2026-05-30T23:35:50.000040225Z [inf]    tokenCount: 1,
2026-05-30T23:35:50.000045419Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:35:50.000051048Z [inf]    forwarded: 1
2026-05-30T23:35:50.000056115Z [inf]  }
2026-05-30T23:35:50.000061303Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:35:50.017462537Z [inf]    gamePk: '824513',
2026-05-30T23:35:50.017466159Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:35:50.017475202Z [inf]    tokens: 1,
2026-05-30T23:35:50.017477516Z [inf]    gamePk: '824513',
2026-05-30T23:35:50.017482697Z [inf]    shouldSend: true,
2026-05-30T23:35:50.017485136Z [inf]    found: true,
2026-05-30T23:35:50.017488546Z [inf]    status: 'I',
2026-05-30T23:35:50.017493828Z [inf]    hasLinescore: true,
2026-05-30T23:35:50.017493880Z [inf]    inning: 2,
2026-05-30T23:35:50.017499144Z [inf]    inningState: 'Top',
2026-05-30T23:35:50.017503164Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:35:50.017507611Z [inf]  }
2026-05-30T23:35:50.017510383Z [inf]    currentInning: 2,
2026-05-30T23:35:50.017516784Z [inf]    inningState: 'Top'
2026-05-30T23:35:50.017522694Z [inf]  }
2026-05-30T23:35:50.017530169Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:35:50.026196106Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:50.053741098Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:50.053745315Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:50.053749237Z [inf]    gamePk: '824513',
2026-05-30T23:35:50.053754220Z [inf]    tokenCount: 1,
2026-05-30T23:35:50.053759039Z [inf]    signature: 'I|In Progress|2|2nd|top|0|1|1|1|0|1|0|1|Jorge Mateo|Brady Singer',
2026-05-30T23:35:50.053762745Z [inf]    forwarded: 1
2026-05-30T23:35:50.053766521Z [inf]  }
2026-05-30T23:35:55.016611790Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:35:55.016635733Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:35:55.016640654Z [inf]    gamePk: '824513',
2026-05-30T23:35:55.016646181Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:35:55.016650928Z [inf]  }
2026-05-30T23:35:55.088908613Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:35:55.088918902Z [inf]    gamePk: '824513',
2026-05-30T23:35:55.088926219Z [inf]    found: true,
2026-05-30T23:35:55.088932899Z [inf]    hasLinescore: true,
2026-05-30T23:35:55.088939837Z [inf]    currentInning: 2,
2026-05-30T23:35:55.088946756Z [inf]    inningState: 'Top'
2026-05-30T23:35:55.088952794Z [inf]  }
2026-05-30T23:35:55.088958743Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:35:55.088967921Z [inf]    gamePk: '824513',
2026-05-30T23:35:55.088974346Z [inf]    tokens: 1,
2026-05-30T23:35:55.088980885Z [inf]    shouldSend: false,
2026-05-30T23:35:55.088987791Z [inf]    status: 'I',
